,,,pack size (where aplicable),Cost,Quant,Total for item,,Link,Notes,,,,,,,
,M3x30,SHCS,,0.0222,8,0.18,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L30&productModelNumber=EDLA-J2-M3-L30,,,,,,,,
,M3x25,SHCS,,0.0178,7,0.13,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L25&productModelNumber=EDLA-J2-M3-L25,,,,,,,,
,M3x22,SHCS,,0.0169,8,0.14,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L22&productModelNumber=EDLA-J2-M3-L22,,,,,,,,
,M3x20,SHCS,,0.0143,3,0.05,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L20&productModelNumber=EDLA-J2-M3-L20,,,,,,,,
,M3x16,SHCS,,0.0142,23,0.33,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L16&productModelNumber=EDLA-J2-M3-L16,,,,,,,,
,M3x12,SHCS,,0.128,70,8.96,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L12&productModelNumber=EDLA-J2-M3-L12,,,,,,,,
,M3x8,SHCS,,0.0113,57,0.65,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L8&productModelNumber=EDLA-J2-M3-L8,,,,,,,,
,M3x6,SHCS,,0.0127,52,0.67,,https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)?k=EDLA-J2-M3-L6&productModelNumber=EDLA-J2-M3-L6,,,,,,,,
,M3 t slot nut,,,0.0136,70,0.96,,,,,,,,,,
,,,,,,,,,,,,,,,,
,ELECTRONICS,,,,,,,,,,,,,,,
,custom v0.1 bed heater,,,5.25,1,5.25,,JLC flexheater service,,,,,,,,
,IEC power inlet,,,2.05,1,2.05,,https://www.aliexpress.com/item/1005006990146296.html,,,,,,,,
,external mosfet board to support the bed,,,2.51,1,2.51,,https://www.aliexpress.com/item/1005006614952857.html,,,,,,,,
,external mosfet board to support the bed,,,2.51,1,2.51,,https://www.aliexpress.com/item/1005006614952857.html,,,,,,,,
,Ptfe wire red,,,5.69,1,5.69,,https://www.aliexpress.com/item/1005004874514644.html,,,,,,,,
,Ptfe wire blk,,,5.7,1,5.70,,https://www.aliexpress.com/item/1005004874514644.html,,,,,,,,
,old desktop fans,,,0,,,,hunt,,,,,,,,
,meanwell lrs350-24,,,42.73,1,42.73,,https://www.aliexpress.com/item/1005004796910794.html,,,,,,,,
,meanwell lrs350-48,,,44.2,1,44.20,,https://www.aliexpress.com/item/1005004796910794.html,,,,,,,,
,mellow D7,,,24.03,1,24.03,,https://www.aliexpress.com/item/1005006422323624.html,it’s a much cheaper alternative to the BTT octopus or mellow super,,,,,,,
,TMC2209,2pk,,7.39,1,7.39,,https://www.aliexpress.com/item/33028050145.html,,,,,,,,
,TMC5160,1pk,,21.72,4,86.88,,https://www.aliexpress.com/item/1005004229433552.html,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Toolhead,,,,,,,,,,,,,,,
